Pal,Passive4,Passive4,Passive4,Passive4
Cattiva,Coward,,,
Gorirat,Hooligan,,,
Gorirat Terra,Hooligan,,,
Digtoise,Hard Skin,,,
Lovander,Abnormal,,,
Relaxaurus,Glutton,,,
Warsect,Hard Skin,,,
Blazamut,Flame Emperor,,,
Blazamut Ryu,Eternal Flame,,,
Astegon,Hard Skin,,,
Anubis,Earth Emperor,,,
Jormuntide,Lord of the Sea,,,
Lyleen,Spirit Emperor,,,
Orserk,Lord of Lightning,,,
Paladius,Legend,Celestial Emperor,,
Necromus,Legend,Lord of the Underworld,,
Frostallion,Legend,Ice Emperor,,
Frostallion Noct,Legend,,,
Jetragon,Legend,Divine Dragon,,
Bellanoir Libero,Siren of the Void,,,
Xenovader,Otherworldly Cells,,,
Xenogard,Otherworldly Cells,,,
